Model,Title,Rating(scaled to 5),Reveiw,Reviewer,Date,url
MG HECTOR,Best SUV for mountains,5,The first SUV from MG in India surely is trending. When we first experienced the Hector on the hills.,By Harish Khan,"On: Dec 08, 2019 | 48 Views",www.cardekho.com
MG HECTOR,Great car.,5,Nice car of new technology.,By Look Boy Gohil,"On: Dec 08, 2019 | 35 Views",www.cardekho.com
MG HECTOR,Excellent car.,5,Nice model and features of the car especially the internet car which is fully automatic car.,By Muhammad Riffakat Hussain,"On: Dec 08, 2019 | 38 Views",www.cardekho.com
MG HECTOR,My First ride with MG Hector,5,"MG Hector is an awesome car because we are getting all the attractive features in the economical price range. So, I love to drive this car.",By Bhäŕäť Raheja,"On: Dec 07, 2019 | 42 Views",www.cardekho.com
MG HECTOR,Wonderful car.,5,It's an amazing car. It's within the budget and the pickup is amazing. Amazing sunroof.,By Rajat S Talakal,"On: Dec 06, 2019 | 45 Views",www.cardekho.com
MG HECTOR,The best one.,5,"When we first experienced the Hector on the hills of Coimbatore, we knew it had the makings of a winner. No doubt, the distinctive design, exhaustive features list and a hugely spacious cabin are all strong factors in the success of an SUV, but that brief drive was just a sampler and didn't include the petrol-automatic variant. This variant is the pick of the lot, accounting for over 50 percent sales, and has a waiting period that can stretch to seven months. Hence, in this very exacting road test, we've tested all three powertrain variants to, once and for all, answer the torrent of questions flooding our inbox and to tell you just how good the Hector really is.",By Risheel Desai,"On: Dec 04, 2019 | 3062 Views",www.cardekho.com
MG HECTOR,The total experience so far.,4,"Hector, as its name indicates bully's, its rivals because of its daring looks, starting from its front the massive LED headlights and the DRL's positioning gives it the aggressiveness, coming to its side profile it looks glorious but just the 17 inch alloy wheels somewhere take the thunder away, then coming to the back of the car, it looks attractive as well. If tacking about the features it is fully loaded with features such as massive 10 inch touch screen through which every function of car is controlled, its an internet-connected car, also the book closes automatically by pressing just 1 button, reverse parking camera is also included with sensors, the additional touch to the car is its massive panoramic sunroof which lets the interior to be brighter and feels more luxurious. Taking of space then Hector has humongous space which includes, the legroom, the headroom, shoulder room, etc. All feel large even the boot of hector is big enough. Coming to the engine on paper as seen it gives 179 bhp but due to some reasons, it doesn't feel that way. Also, the steering is not like an SUV kind and the all-touch functionality which is provided is somewhere inconvenient while driving physical buttons are handier than that.",By Akshat Sharma,"On: Dec 04, 2019 | 2027 Views",www.cardekho.com
MG HECTOR,Awesome car.,5,What a smooth and powerful car. Great looks and fuel-efficient. Value for money and highly recommended.,By Ammar Chichi,"On: Dec 03, 2019 | 55 Views",www.cardekho.com
MG HECTOR,Petrol variant is less powerful.,4,"Purchased petrol hybrid variant on Aug-19 and Completed 5,500Kms. There is nothing more I can add to its good points, mostly all were covered in other reviews. I would like to advise from my experience for Petrol variant that it does not have sufficient power for faster pickup and sporty drive. You should treat this beast gently to get better mileage. The worst city mileage I got was 8Km/L in the city and the best was 18Km/L on the highway with A.C.-Off and speed below 80Km/H.",By Pn Chandrasekhar,"On: Dec 04, 2019 | 816 Views",www.cardekho.com
MG HECTOR,Killer looks.,5,A classic car in this range as it has a better look than Fortuner. Killer looks. Never seen a beast like this ever before.,By Jay,"On: Dec 04, 2019 | 53 Views",www.cardekho.com
MG HECTOR,Great car.,5,Really a lovely car and highly recommended.,By Akash Mohan Mk,"On: Dec 05, 2019 | 41 Views",www.cardekho.com
MG HECTOR,Comfortable car,5," MG Hector has very good features and also get a comfortable ride. I love to drive this car as compared to another car. Moreover, this is the best car in this budget range.",By Digesh Kapadiya,"On: Dec 05, 2019 | 146 Views",www.cardekho.com
MG HECTOR,Great car.,4,MG Hector is an amazing car. Really comfortable and delivers wonderful mileage.,By Aniket Raut,"On: Dec 05, 2019 | 46 Views",www.cardekho.com
MG HECTOR,Great build quality and spacious.,3,"As I shut the door of the Hector, the door's thud surprised me. It is a solid car. The acceleration was decent and the power delivery is great. The space in the back seat is amazing. The quality is top-notch as you expect from a 20+ lac car. The thing that annoyed me is the screen, it's laggy. The basic functions like the A.C. and the 360 camera seem to bother you to use. It's irritating in the long run. The virtual assistant works when it hears you and understands you. Everything is fine, but the infotainment feels like a beta and should be updated soon for a smoother experience. The worst part is, you don't have physical controls for the A.C.",By Shrivats Poddar,"On: Dec 05, 2019 | 567 Views",www.cardekho.com
MG HECTOR,Superb car.,5,Superb interior and custom design. Awesomely running and very comfortable.,By Paytm Axis,"On: Dec 02, 2019 | 50 Views",www.cardekho.com
MG HECTOR,Everything you need in a car,5,"Very nice design and stylish car. The interior of the hector is amazing and the touch screen is like a tab. The alloy wheel of the hector is beautiful, exterior and interiors too. The ground clearance of hector is ample. I like the interior options. The headlight was very nice and the backlight is also good. The boot space was so spacious. I like MG Hector so much.",By Johney Robert,"On: Nov 30, 2019 | 1617 Views",www.cardekho.com
MG HECTOR,The Best,3,MG Hector is a very experienced vehicle. It is made by Morris Garages (Mg) Hector. Its budget is very low and has advanced features. Its massive sunroof gives a pleasant feel to the cabin. Its touch screen is also controlled by voice. Its leg space is massive. Its price starts from 12.17 lakh. I really want to buy this car.,By Mehul Jhala,"On: Nov 29, 2019 | 778 Views",www.cardekho.com
MG HECTOR,Perfect SUV.,5,"Surely we can say it is a perfect fully loaded SUV model, well done by MG, Hector is stepping stone of our future cars.",By Sai Charan Mahamkali,"On: Nov 30, 2019 | 51 Views",www.cardekho.com
MG HECTOR,Fantastic car,4,"Fantastic car, great pick-up, comfortable seats. Controlling system is excellent, smooth to drive.",By User,"On: Nov 30, 2019 | 45 Views",www.cardekho.com
MG HECTOR,Best car of the world.,5,"Best in the segment. Better from the Fortuner and Endeavor. The voice control smart technology, I couldn't find it anywhere.",By Kuldeep Yadav,"On: Dec 01, 2019 | 46 Views",www.cardekho.com
MG HECTOR,Best car for family.,5,"The best car ever saw. Amazing driving experience and handling quality. The better interior can be made by making it airy, you can go for it if you have a family then go for it.",By Rashmi Rekha,"On: Dec 01, 2019 | 284 Views",www.cardekho.com
MG HECTOR,Amazing performance.,5,Best car and interior so far. Lovely design and quality are superb.,By Shakir Shaikh,"On: Nov 30, 2019 | 41 Views",www.cardekho.com
MG HECTOR,Superb car.,5,Very affordable range and super high-quality car. Very comfortable seating and quite silent. The A.C. system and circulation are pretty good.,By Souvik Majumder,"On: Nov 30, 2019 | 43 Views",www.cardekho.com
MG HECTOR,The silent monster.,5,"This car is giving a lot of features, function, and comfort to the passengers. It has a true feel of an SUV.",By Taif Arif,"On: Dec 01, 2019 | 41 Views",www.cardekho.com
MG HECTOR,The best car in the segment.,5,It is better than Kia Seltos and the price is also good. The best car in the segment which gives you many features. If you want to open sunroof yon can simply say I am feeling hot or you can say anything to it.,By Vansh Jiwanani,"On: Dec 01, 2019 | 109 Views",www.cardekho.com
MG HECTOR,Amazing machine.,2,"People say that the electronics won't work out in India but MG has proved almost everyone wrong. Speaking of electronics, the car is fully loaded with advanced technology and none of them feels like it's overdone. My second point is the mileage, Hector is an SUV but still offers great mileage of around 16kmpl. The dimensions of the car are humungous. In terms of comfort, the car can beat any of its rivals and is also prepared to compete with upper-class SUVs like Fortuner, Endeavour, etc. I recently went on a road trip in my hector and the ride quality was amazing, the suspensions were pretty soft providing a clean ride. Though the car is pretty huge, it is easily drivable in the city without any problem. I've heard it is also called the internet car due to the presence of a massive touch screen system with a pretty clear voice assistant. It manages to recognize the Indian accent as well. The pricing of the car is pretty neat and is the best car in the segment.",By Ritesh Gourav,"On: Nov 28, 2019 | 4582 Views",www.cardekho.com
MG HECTOR,This car fulfils everything in 20 budget.,4,"I drove MG Hector (Sharp) Petrol Hybrid for more than 1000kms. Both in city traffic (200km) and on national highway (800km). It gives superior comfort for drivers/passengers. HiTech features make you feel like you are in full control of the car. No complaints in this section. Overall I am very happy. After driving it on different roads in city & highways, I don't feel the acceleration is leaner enough in all gears. Overall I felt it is ""sluggish"" / ""underpowered."" The fuel efficiency is not up to the figures declared by MG India (i.e. 15.8 kmpl). I only got 9 to 10 kmpl in city & 11 to 13kmpl in Highways. Finally, I would like to say this car is a good value for money.",By Alok Narayan Pandey,"On: Nov 28, 2019 | 558 Views",www.cardekho.com
MG HECTOR,Fuel Average,5,"Read a few reviews where people alleged very low fuel efficiency. On a normal day in Delhi (route Noida Gurgaon at 9 AM) and (Gurgaon Noida 7 PM), my car has given an average of 12 kmpl. And while travelling bumper to bumper, it is 9-10kmpl.",By Nikit Popli,"On: Nov 29, 2019 | 694 Views",www.cardekho.com
MG HECTOR,Quite strong.,5,Nice car and a strong body. The leather seats are average. Suspension and space are good here. there is no engine sound. Everything is perfect.,By Palam Estates,"On: Nov 28, 2019 | 34 Views",www.cardekho.com
MG HECTOR,The power devil,5,"The perfect size car with the best class infotainment system and interiors. The tyres and the rims are eye-catchy and the front lights are alluring. The best car in its segment with appearance and power, with huge space, the car packs a good load and is great for trips and adventures. The company will get a huge advantage in the Indian market.",By Vishesh Yadav,"On: Nov 29, 2019 | 164 Views",www.cardekho.com
MG HECTOR,Amazing machine.,3,Can't comment over the engine quality because British cars are amazing in quality check. Build quality and features are also good.,By Akhilesh Akshay,"On: Nov 29, 2019 | 46 Views",www.cardekho.com
MG HECTOR,My favorite car,5,"Excellent car in the world so far. It is best for long tours. Also, the logo of the car is impressive.",By Sushil Malik,"On: Nov 28, 2019 | 40 Views",www.cardekho.com
MG HECTOR,Mind blowing car.,5,"Nice features at less cost, It's helpful for everyone and it's featured as same as Jeep Compass.",By Umesh Hari Mahalpure,"On: Nov 28, 2019 | 36 Views",www.cardekho.com
MG HECTOR,This car is amazing.,5,Smooth drive and fantastic looks. Everything is amazing here in this car.,By Raj Pandit,"On: Nov 28, 2019 | 39 Views",www.cardekho.com
MG HECTOR,Dream Car - MG Hector,5,"Such a high rated and luxurious class segment car. It has great looks and great features. Fully automatic loaded features. High ground clearance, big boot space, electronically  adjustable seats and sensors I mostly like features in this car. Voice control feature giving amazing feel driving this car.",By Rohit Kshatriya,"On: Nov 28, 2019 | 116 Views",www.cardekho.com
